City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,inhambane,-23.865,35.3833,20.710000000000036,51,89,6.42,MZ,1690964518
92,lebu,-37.6167,-73.65,8.54000000000002,87,9,4.73,CL,1690964518
93,uchiza,-8.4592,-76.4633,20.410000000000025,66,59,1.26,PE,1690964519
94,yellowknife,62.456,-114.3525,16.29000000000002,67,20,2.06,CA,1690964405
95,saint-philippe,-21.3585,55.7679,25.77000000000004,76,4,4.38,RE,1690964520
96,berdigestyakh,62.0989,126.6992,19.75,46,100,0.93,RU,1690964521
97,namibe,-15.1961,12.1522,19.28000000000003,71,33,1.51,AO,1690964521
98,yagoua,10.3411,15.2329,22.930000000000007,90,100,1.0,CM,1690964522
99,bandon,51.7469,-8.7425,14.770000000000039,92,100,6.91,IE,1690964523
100,katsuren-haebaru,26.3369,127.8719,27.010000000000048,100,100,17.49,JP,1690964523
101,punta arenas,-53.15,-70.9167,-1.0499999999999545,86,100,4.91,CL,1690964233
102,ribeira grande,38.5167,-28.7,24.32000000000005,94,75,3.58,PT,1690964524
103,las brenas,-27.0897,-61.0816,22.730000000000018,44,0,4.29,AR,1690964525
104,olonkinbyen,70.9221,-8.7187,5.720000000000027,93,87,2.38,SJ,1690964527
105,port alfred,-33.5906,26.891,16.210000000000036,73,2,0.89,ZA,1690964529
106,flying fish cove,-10.4217,105.6791,25.82000000000005,88,75,3.09,CX,1690964529
107,pangai,-19.8,-174.35,22.689999999999998,77,80,6.35,TO,1690964530
108,port elizabeth,-33.918,25.5701,14.5,76,0,3.09,ZA,1690964385
109,al jawf,29.5,38.75,35.670000000000016,13,0,7.74,SA,1690964533
110,hadibu,12.65,54.0333,29.100000000000023,62,49,12.78,YE,1690964536
111,dwarka,22.2394,68.9678,28.55000000000001,78,76,9.83,IN,1690964537
112,iskateley,67.6803,53.1512,23.970000000000027,51,90,3.13,RU,1690964479
113,nova sintra,14.8667,-24.7167,22.620000000000005,83,16,2.82,CV,1690964538
114,boguchany,58.3814,97.4531,22.939999999999998,81,92,2.84,RU,1690964539
115,susuman,62.7833,148.1667,14.310000000000002,52,99,5.45,RU,1690964539
116,ceeldheer,3.8488,47.1806,28.980000000000018,60,64,10.96,SO,1690964540
117,wattwil,47.3023,9.0876,17.450000000000045,68,100,2.26,CH,1690964540
118,puerto aysen,-45.4,-72.7,1.0600000000000023,97,100,2.42,CL,1690964541
119,utrik,11.2278,169.8474,28.470000000000027,78,80,6.54,MH,1690964542
120,kiunga,-6.1219,141.2906,25.439999999999998,91,90,0.73,PG,1690964542
121,sumbawa besar,-8.5,117.4333,31.470000000000027,41,0,3.02,ID,1690964543
122,itoman,26.1247,127.6694,27.010000000000048,94,75,21.61,JP,1690964544
123,champerico,14.3,-91.9167,24.860000000000014,91,100,3.99,GT,1690964544
124,mohr,54.3528,9.7167,17.860000000000014,88,75,2.57,DE,1690964546
125,kiama,-34.6833,150.8667,16.32000000000005,81,20,2.24,AU,1690964546
126,siocon,7.7061,122.1353,28.510000000000048,81,49,3.94,PH,1690964547
127,pisco,-13.7,-76.2167,19.03000000000003,77,100,0.0,PE,1690964548
128,ostersund,63.1792,14.6357,13.670000000000016,94,100,2.06,SE,1690964548
129,utiel,39.5667,-1.2,27.370000000000005,36,0,2.85,ES,1690964549
130,chokwe,-24.5333,32.9833,17.55000000000001,72,97,3.24,MZ,1690964550
131,puqi,29.7167,113.8833,34.08000000000004,57,14,2.89,CN,1690964550
132,sol'tsy,58.1239,30.3238,24.77000000000004,58,83,4.65,RU,1690964551
133,tomatlan,19.9333,-105.25,25.180000000000007,93,100,1.53,MX,1690964552
134,axim,4.8699,-2.2405,24.879999999999995,86,100,5.08,GH,1690964552
135,tamanrasset,22.785,5.5228,29.950000000000045,20,11,2.06,DZ,1690964553
136,tolanaro,-25.0319,46.9987,21.04000000000002,83,75,3.09,MG,1690964554
137,ixtapa,20.7,-105.2,25.120000000000005,89,94,1.31,MX,1690964554
138,kruisfontein,-34.0033,24.7314,14.379999999999995,49,0,2.46,ZA,1690964555
139,acapulco de juarez,16.8634,-99.8901,27.900000000000034,89,75,1.54,MX,1690964547
140,broken hill,-31.95,141.4333,15.210000000000036,42,0,3.09,AU,1690964556
141,ringkobing,56.0901,8.244,17.230000000000018,75,40,1.54,DK,1690964557
142,east london,-33.0153,27.9116,17.52000000000004,55,0,2.57,ZA,1690964557
143,boden,65.8252,21.6886,16.0,98,100,3.91,SE,1690964558
144,acu,-5.5767,-36.9086,21.680000000000007,86,25,1.81,BR,1690964559
145,taoudenni,22.6783,-3.9836,40.170000000000016,7,80,1.59,ML,1690964559
146,aripuana,-9.1667,-60.6333,22.210000000000036,61,60,0.85,BR,1690964561
147,badger,64.8,-147.5333,18.230000000000018,74,75,1.54,US,1690964561
148,bafoulabe,13.8065,-10.8321,23.930000000000007,95,100,1.87,ML,1690964562
149,yerkoy,39.6381,34.4672,30.710000000000036,27,1,2.51,TR,1690964562
150,ancud,-41.8697,-73.8203,6.360000000000014,72,78,6.18,CL,1690964563
151,impfondo,1.6381,18.0667,28.03000000000003,61,98,1.33,CG,1690964564
152,paita,-5.0892,-81.1144,20.74000000000001,84,3,3.43,PE,1690964565
153,tazacorte,28.629,-17.9293,24.53000000000003,83,40,7.72,ES,1690964567
154,marsh harbour,26.5412,-77.0636,28.480000000000018,74,23,3.01,BS,1690964567
155,khanty-mansiysk,61.0042,69.0019,25.060000000000002,57,40,3.13,RU,1690964568
156,rio grande,-32.035,-52.0986,15.970000000000027,94,0,3.2,BR,1690964568
157,luau,-10.7073,22.2247,25.30000000000001,24,42,4.5,AO,1690964569
158,saint-joseph,-21.3667,55.6167,25.210000000000036,77,9,3.84,RE,1690964570
159,sarkand,45.41,79.9186,31.160000000000025,25,100,1.77,KZ,1690964570
160,aasiaat,68.7098,-52.8699,2.830000000000041,95,100,1.72,GL,1690964571
161,torghay,49.6339,63.4981,29.79000000000002,31,0,6.1,KZ,1690964572
162,cockburn town,21.4612,-71.1419,28.680000000000007,78,100,6.48,TC,1690964572
163,illizi,26.4833,8.4667,37.89000000000004,12,0,1.75,DZ,1690964573
